latitude,longitude,String,danger
39.33,-76.704,There is 1 gun offender in this area. ,1
39.311,-76.584,There is 1 gun offender in this area. ,1
39.304,-76.603,There is 1 gun offender in this area. ,1
38.547,-92.177,There is 1 sex offender in this area. ,2
39.269,-76.652,There is 1 sex offender in this area. ,2
39.289,-76.596,There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,1
39.164,-76.846,There is 1 gun offender in this area. ,1
39.287,-76.61,There is 1 CCTV camera in this area. ,0
39.014,-76.963,There is 1 sex offender in this area. ,2
39.407,-77.444,There is 1 sex offender in this area. ,2
39.392,-76.596,There is 1 sex offender in this area. ,2
39.315,-76.581,There is 1 CCTV camera in this area. ,0
39.298,-76.573,There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,1
39.282,-76.694,There is 1 gun offender in this area. ,1
39.243,-76.624,There is 1 CCTV camera in this area. ,0
39.309,-76.641,There is 1 sex offender in this area. ,2
39.342,-76.667,There is 1 CCTV camera in this area. ,0
39.03,-76.713,There is 1 sex offender in this area. ,2
39.344,-76.547,There is 1 gun offender in this area. ,1
38.263,-76.467,There is 1 sex offender in this area. ,2
39.313,-76.615,There is 1 sex offender in this area. ,2
38.307,-75.139,There is 1 sex offender in this area. ,2
39.313,-76.649,There is 1 gun offender in this area. ,1
39.237,-76.651,There is 1 sex offender in this area. ,2
39.296,-76.583,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.298,-76.594,There are 2 CCTV cameras in this area. ,0
39.282,-76.706,There is 1 gun offender in this area. ,1
39.285,-76.647,There is 1 CCTV camera in this area. ,0
39.669,-76.849,There is 1 sex offender in this area. ,2
39.205,-76.825,There is 1 gun offender in this area. ,1
32.559,-94.37,There is 1 sex offender in this area. ,2
38.237,-76.495,There is 1 sex offender in this area. ,2
39.332,-76.468,There is 1 sex offender in this area. ,2
38.187,-75.694,There is 1 sex offender in this area. ,2
39.33,-76.659,There are 2 gun offenders in this area. ,2
38.479,-75.569,There is 1 sex offender in this area. ,2
39.409,-77.447,There is 1 sex offender in this area. ,2
38.987,-76.995,There is 1 sex offender in this area. ,2
39.323,-76.556,There is 1 gun offender in this area. ,1
39.31,-76.649,There are 7 sex offenders in this area. There is 1 gun offender in this area. ,15
44.624,-93.757,There is 1 sex offender in this area. ,2
39.36,-76.765,There is 1 gun offender in this area. ,1
38.974,-76.981,There is 1 sex offender in this area. ,2
38.396,-75.557,There is 1 sex offender in this area. ,2
39.294,-76.599,There are 2 gun offenders in this area. ,2
39.338,-76.529,There is 1 gun offender in this area. ,1
38.962,-76.752,There is 1 sex offender in this area. ,2
38.996,-76.997,There is 1 sex offender in this area. ,2
38.651,-77.065,There is 1 sex offender in this area. ,2
39.358,-76.594,There is 1 gun offender in this area. ,1
38.409,-75.578,There is 1 sex offender in this area. ,2
32.427,-106.853,There is 1 sex offender in this area. ,2
39.28,-76.438,There is 1 sex offender in this area. ,2
39.312,-76.587,There is 1 gun offender in this area. ,1
39.093,-76.822,There is 1 sex offender in this area. ,2
39.34,-76.66,There is 1 sex offender in this area. ,2
38.611,-77.038,There is 1 sex offender in this area. ,2
39.405,-79.401,There is 1 sex offender in this area. ,2
39.153,-76.819,There is 1 sex offender in this area. ,2
39.289,-76.674,There are 4 gun offenders in this area. ,4
38.668,-76.067,There is 1 sex offender in this area. ,2
39.332,-76.669,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
38.623,-76.938,There are 2 sex offenders in this area. ,4
39.289,-76.677,There is 1 gun offender in this area. ,1
39.323,-76.598,There is 1 gun offender in this area. ,1
